education,skills,experience,certifications,projects,career
B.Sc,"R, Matplotlib, Statistics, Scikit-learn, Python, Machine Learning, Tableau, SQL",7.0,None,Sentiment Analysis on Product Reviews,Data Scientist
M.Tech,"Data Analysis, Data Visualization, Tableau, Pandas, Python, Power BI",7.3,Google Data Analytics Certificate,Customer Segmentation and Cohort Study,Data Analyst
B.Sc,"NumPy, Python, Machine Learning, Pandas, Scikit-learn, NLP",5.6,IBM Data Science Professional,Sentiment Analysis on Product Reviews,Data Scientist
BCA,"Kubernetes, Terraform, CI/CD, Docker, Python, Networking, Cloud Architecture",1.0,Microsoft Azure Fundamentals,Multi-Region High Availability AWS Infrastructure,Cloud Engineer
M.S,"Nmap, Vulnerability Assessment, Python, Firewall, Wireshark, Bash",7.9,Cisco CCNA Security,Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
B.Sc,"AWS, Kubernetes, Linux, CI/CD, Cloud Architecture, Networking",2.6,Google Associate Cloud Engineer,Disaster Recovery Infrastructure as Code,Cloud Engineer
M.Sc,"Firewall, Network Security, Ethical Hacking, Vulnerability Assessment, Bash",0.0,CompTIA Security+,Web Application Penetration Testing Report,Cybersecurity Analyst
B.Tech,"SQL, Excel, Google Analytics, Data Analysis, R, Python, Tableau",9.5,Tableau Desktop Specialist,HR Employee Attrition Insights,Data Analyst
M.Tech,"Java, C++, REST API, Algorithms, Python, Git, SQL, .NET",2.3,None,Banking Transaction Core System,Software Developer
M.Tech,"Next.js, CSS, Node.js, HTML, REST API, JavaScript",3.7,JavaScript Specialist,Portfolio Showcase with Dynamic Theming,Web Developer
B.E,"Cybersecurity, Wireshark, Metasploit, Nmap, Firewall, Ethical Hacking",4.1,CompTIA Security+,Intrusion Detection System with Snort,Cybersecurity Analyst
M.Sc,"TypeScript, React, Node.js, REST API, CSS, HTML",8.0,Meta Front-End Developer Certificate,Portfolio Showcase with Dynamic Theming,Web Developer
MCA,"Wireshark, Cybersecurity, Linux, Cryptography, Ethical Hacking, Burp Suite, Penetration Testing",7.6,CompTIA CySA+,Intrusion Detection System with Snort,Cybersecurity Analyst
M.S,"PyTorch, Deep Learning, TensorFlow, Docker, MLOps, Machine Learning",9.9,AWS Certified Machine Learning Specialty,Transformer-based Chatbot Engine,Machine Learning Engineer
M.Tech,"Node.js, REST API, Bootstrap, HTML, CSS, MongoDB, Express, TypeScript",8.4,JavaScript Specialist,Real-time Collaborative Whiteboard,Web Developer
M.Tech,"Data Visualization, PostgreSQL, Python, SQL, R, Google Analytics, Tableau",2.4,Microsoft Certified Data Analyst,Financial Quarterly KPI Visualization,Data Analyst
M.S,"Scikit-learn, Kubernetes, TensorFlow, Python, CUDA",8.8,GCP Professional ML Engineer,Autonomous Driving Lane Detection,Machine Learning Engineer
B.E,"Python, Pandas, Seaborn, SQL, Matplotlib, NumPy, Statistics",4.1,TensorFlow Developer Certificate,Customer Churn Prediction Model,Data Scientist
B.Sc,"React, REST API, HTML, MongoDB, Flask, Express",1.6,Meta Front-End Developer Certificate,Real-time Collaborative Whiteboard,Web Developer
B.E,"SQL, Python, Power BI, Google Analytics, Tableau, NumPy",6.0,Microsoft Certified Data Analyst,Supply Chain Inventory Analysis,Data Analyst
M.Sc,"Linux, Network Security, Ethical Hacking, Firewall, Nmap, Bash, Burp Suite",7.8,None,Automated Log Analysis SIEM Dashboard,Cybersecurity Analyst
B.Sc,"Python, Algorithms, Design Patterns, SQL, Java, REST API, Data Structures, Git",2.2,Microsoft Certified C# Developer,Peer-to-Peer Chat Engine,Software Developer
MCA,"Deep Learning, Python, MLOps, Machine Learning, Scikit-learn",0.9,AWS Certified Machine Learning Specialty,Edge AI Device Defect Classifier,Machine Learning Engineer
B.Tech,"Git, C++, Java, OOP, Data Structures, Design Patterns",1.2,Microsoft Certified C# Developer,Inventory and Billing Management Software,Software Developer
B.E,"Django, REST API, Node.js, CSS, JavaScript, React",3.3,None,Blog CMS with Markdown Support,Web Developer
M.S,"NLP, NumPy, Big Data, Scikit-learn, Machine Learning",9.8,Google Data Analytics,Healthcare Fraud Detection Engine,Data Scientist
M.Sc,"Wireshark, Ethical Hacking, Python, Cybersecurity",7.2,CompTIA Security+,Intrusion Detection System with Snort,Cybersecurity Analyst
B.Tech,"NLP, Deep Learning, Kubernetes, Docker, TensorFlow",6.2,GCP Professional ML Engineer,Automated Image Segmentation for Medical Scans,Machine Learning Engineer
MCA,"Terraform, Cloud Architecture, Linux, GCP, Kubernetes, Python",9.5,Certified Kubernetes Administrator (CKA),Disaster Recovery Infrastructure as Code,Cloud Engineer
M.Tech,"Spring Boot, OOP, REST API, Data Structures, Algorithms",1.4,AWS Certified Developer,Inventory and Billing Management Software,Software Developer
BCA,"Penetration Testing, Burp Suite, Nmap, SOC, Network Security, Firewall",5.4,Certified Ethical Hacker (CEH),Automated Log Analysis SIEM Dashboard,Cybersecurity Analyst
M.S,"Wireshark, Cybersecurity, Cryptography, Firewall, Linux, Nmap, Burp Suite",5.1,Cisco CCNA Security,Phishing Simulation & Awareness Program,Cybersecurity Analyst
B.Tech,"Ansible, Kubernetes, GCP, Terraform, CI/CD",0.5,Microsoft Azure Fundamentals,Cloud Cost Optimization & Monitoring Setup,Cloud Engineer
MCA,"SQL, Tableau, Scikit-learn, Pandas, Big Data",4.0,Google Data Analytics,Recommendation System for E-Commerce,Data Scientist
B.Sc,"Firewall, Linux, Bash, Cybersecurity, Burp Suite",1.5,None,Phishing Simulation & Awareness Program,Cybersecurity Analyst
B.E,"CSS, Bootstrap, React, Node.js, Django",4.1,Full Stack Web Development Bootcamp,Real-time Collaborative Whiteboard,Web Developer
M.S,"Penetration Testing, Cybersecurity, Metasploit, Bash, Ethical Hacking, Wireshark, Network Security",7.3,Cisco CCNA Security,Automated Log Analysis SIEM Dashboard,Cybersecurity Analyst
BCA,"AWS, Machine Learning, TensorFlow, Deep Learning",1.1,GCP Professional ML Engineer,Automated Image Segmentation for Medical Scans,Machine Learning Engineer
B.Sc,"Cybersecurity, Network Security, Linux, Burp Suite, Bash, Wireshark, SOC, Nmap",0.2,CompTIA Security+,Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
M.Sc,"Pandas, Scikit-learn, PyTorch, Docker, FastAPI, TensorFlow",6.0,AWS Certified Machine Learning Specialty,Real-time Object Detection with YOLO,Machine Learning Engineer
M.Sc,"Node.js, HTML, REST API, Angular, Django, Vue.js, React, Express",9.3,Full Stack Web Development Bootcamp,Restaurant Food Ordering Web App,Web Developer
B.Tech,"Ethical Hacking, Cybersecurity, Nmap, Penetration Testing, Linux, SIEM, Network Security",3.1,None,Malware Reverse Engineering Sandbox,Cybersecurity Analyst
M.Sc,"Cloud Architecture, AWS, CI/CD, Kubernetes, Python",7.7,AWS Solutions Architect Associate,Multi-Region High Availability AWS Infrastructure,Cloud Engineer
MCA,"Vue.js, Express, CSS, REST API, React, PostgreSQL",1.9,None,Social Media Feed Web Application,Web Developer
B.E,"Excel, Google Analytics, SQL, Python, Data Analysis, Data Visualization",2.3,Microsoft Certified Data Analyst,Customer Segmentation and Cohort Study,Data Analyst
B.Tech,"SIEM, Ethical Hacking, Firewall, Nmap, Cybersecurity, Bash, SOC, Network Security",3.6,Cisco CCNA Security,Intrusion Detection System with Snort,Cybersecurity Analyst
BCA,"CSS, Node.js, HTML, Angular, JavaScript, Vue.js",3.5,JavaScript Specialist,Social Media Feed Web Application,Web Developer
M.Sc,"Big Data, Machine Learning, NumPy, Statistics, Spark, Tableau, Pandas",6.4,IBM Data Science Professional,Sentiment Analysis on Product Reviews,Data Scientist
BCA,"Bootstrap, Express, HTML, React",6.9,Meta Front-End Developer Certificate,Blog CMS with Markdown Support,Web Developer
M.Sc,"PostgreSQL, MySQL, Business Intelligence, Tableau, Data Analysis, SQL, Python",8.1,Tableau Desktop Specialist,Sales Performance Interactive Dashboard,Data Analyst
M.S,"Python, PyTorch, Machine Learning, CUDA",2.0,GCP Professional ML Engineer,Edge AI Device Defect Classifier,Machine Learning Engineer
M.S,"Wireshark, Python, Cybersecurity, Linux, Network Security, Ethical Hacking",5.2,CompTIA Security+,Automated Log Analysis SIEM Dashboard,Cybersecurity Analyst
M.Sc,"Linux, GCP, Bash, CI/CD, Kubernetes, Terraform, Docker",8.0,AWS Solutions Architect Associate,Automated CI/CD Pipeline with Jenkins and Docker,Cloud Engineer
B.E,"Express, CSS, REST API, JavaScript, Django, TypeScript",8.5,Meta Front-End Developer Certificate,Blog CMS with Markdown Support,Web Developer
M.S,"PyTorch, Python, Scikit-learn, SQL, Deep Learning, Pandas",3.4,Google Data Analytics,House Price Forecasting Pipeline,Data Scientist
M.S,"OOP, C++, Data Structures, Python, Docker",9.5,None,Hospital Management Desktop App,Software Developer
M.S,"Unit Testing, OOP, C++, Java",2.9,None,Multi-threaded File Downloader,Software Developer
BCA,"Burp Suite, Ethical Hacking, Firewall, Cybersecurity, SIEM, Linux, Cryptography",3.8,CompTIA CySA+,Phishing Simulation & Awareness Program,Cybersecurity Analyst
B.Sc,"AWS, Kubernetes, Terraform, Azure",0.2,Microsoft Azure Fundamentals,Kubernetes Microservices Cluster Deployment,Cloud Engineer
M.Sc,"C++, Java, Spring Boot, Data Structures, C#, MySQL, Python",8.1,AWS Certified Developer,Peer-to-Peer Chat Engine,Software Developer
M.Tech,"Machine Learning, SQL, Spark, NumPy, Pandas, Scikit-learn",6.0,TensorFlow Developer Certificate,House Price Forecasting Pipeline,Data Scientist
M.S,"Spark, Machine Learning, Python, NumPy, Statistics",8.3,Google Data Analytics,Credit Risk Scoring Algorithm,Data Scientist
B.E,"Java, Data Structures, C++, SQL, Git, OOP",9.4,Oracle Certified Java Professional,Distributed Cache Mechanism,Software Developer
M.Tech,"R, Excel, Tableau, Business Intelligence, Pandas, Data Visualization, Power BI, Data Analysis",0.3,Google Data Analytics Certificate,Financial Quarterly KPI Visualization,Data Analyst
B.E,"TensorFlow, Pandas, Machine Learning, Statistics, Big Data, Python, Scikit-learn",4.7,Google Data Analytics,Customer Churn Prediction Model,Data Scientist
M.Tech,"FastAPI, TensorFlow, Deep Learning, PyTorch, Machine Learning, Docker",3.8,None,Autonomous Driving Lane Detection,Machine Learning Engineer
MCA,"Docker, NLP, Python, Deep Learning, Scikit-learn, TensorFlow",6.0,GCP Professional ML Engineer,Autonomous Driving Lane Detection,Machine Learning Engineer
B.E,"Express, React, HTML, CSS, TypeScript, Node.js",0.9,None,Real-time Collaborative Whiteboard,Web Developer
M.S,"HTML, Next.js, JavaScript, Node.js, CSS, Express",6.7,Meta Front-End Developer Certificate,Restaurant Food Ordering Web App,Web Developer
B.Sc,"Machine Learning, Python, Scikit-learn, FastAPI, TensorFlow, CUDA, PyTorch",9.8,AWS Certified Machine Learning Specialty,Real-time Object Detection with YOLO,Machine Learning Engineer
M.Tech,"Terraform, Docker, AWS, Cloud Architecture, Networking, CI/CD",0.6,Google Associate Cloud Engineer,Serverless Event-Driven ETL with AWS Lambda,Cloud Engineer
M.Tech,"C#, OOP, Git, Java, Linux, Python, C++, REST API",3.2,AWS Certified Developer,Banking Transaction Core System,Software Developer
B.Sc,"Data Structures, Python, C#, Docker, Git, MySQL, C++, Java",5.5,Oracle Certified Java Professional,Hospital Management Desktop App,Software Developer
B.Tech,"C++, MySQL, SQL, Git, Java",5.2,AWS Certified Developer,Hospital Management Desktop App,Software Developer
B.E,"Nmap, Firewall, Linux, SIEM, Penetration Testing, Ethical Hacking, Vulnerability Assessment, Cybersecurity",1.3,Certified Ethical Hacker (CEH),Intrusion Detection System with Snort,Cybersecurity Analyst
B.Tech,"Java, .NET, Git, OOP, Python, Algorithms",6.4,Oracle Certified Java Professional,Inventory and Billing Management Software,Software Developer
B.Sc,"Data Structures, Spring Boot, Algorithms, OOP, Git",9.9,Microsoft Certified C# Developer,Distributed Cache Mechanism,Software Developer
B.Tech,"Python, Matplotlib, Machine Learning, Tableau, Scikit-learn",2.3,TensorFlow Developer Certificate,House Price Forecasting Pipeline,Data Scientist
M.S,"Cloud Architecture, Terraform, Linux, Microservices, Docker, Python",0.4,Microsoft Azure Fundamentals,Kubernetes Microservices Cluster Deployment,Cloud Engineer
B.Tech,"NumPy, Python, Machine Learning, Spark, Tableau, Scikit-learn, Pandas",0.8,Google Data Analytics,House Price Forecasting Pipeline,Data Scientist
M.Tech,"Burp Suite, Cybersecurity, Ethical Hacking, Wireshark, Linux, SOC",5.7,CompTIA Security+,Intrusion Detection System with Snort,Cybersecurity Analyst
BCA,"Spring Boot, C++, Unit Testing, Algorithms, Git",0.4,Microsoft Certified C# Developer,Distributed Cache Mechanism,Software Developer
BCA,"NumPy, Data Visualization, Data Analysis, Tableau, Power BI",1.2,Google Data Analytics Certificate,Supply Chain Inventory Analysis,Data Analyst
M.S,"Vulnerability Assessment, Firewall, Cybersecurity, Bash, Ethical Hacking",0.1,CompTIA Security+,Web Application Penetration Testing Report,Cybersecurity Analyst
M.S,"Metasploit, Linux, Ethical Hacking, Nmap, Wireshark",4.3,None,Intrusion Detection System with Snort,Cybersecurity Analyst
M.S,"Kubernetes, Machine Learning, Pandas, Deep Learning, Python, TensorFlow, Docker",1.5,AWS Certified Machine Learning Specialty,Automated Image Segmentation for Medical Scans,Machine Learning Engineer
B.Sc,"Vue.js, React, Node.js, HTML, JavaScript",1.5,Meta Front-End Developer Certificate,Blog CMS with Markdown Support,Web Developer
MCA,"Git, Unit Testing, MySQL, Docker, C++, Algorithms, Python",2.6,Oracle Certified Java Professional,Distributed Cache Mechanism,Software Developer
MCA,"Data Visualization, Pandas, SQL, Tableau",4.2,Tableau Desktop Specialist,Financial Quarterly KPI Visualization,Data Analyst
M.S,"Data Structures, Design Patterns, .NET, Java, Git, Algorithms",7.7,AWS Certified Developer,Inventory and Billing Management Software,Software Developer
M.Sc,"Power BI, Tableau, Business Intelligence, Data Analysis, Pandas, R",5.5,None,Financial Quarterly KPI Visualization,Data Analyst
B.Sc,"SIEM, Linux, Nmap, Bash, Ethical Hacking, Network Security, Wireshark",3.1,CompTIA Security+,Intrusion Detection System with Snort,Cybersecurity Analyst
B.E,"Wireshark, Nmap, SIEM, Python, Network Security, Linux",4.4,None,Automated Log Analysis SIEM Dashboard,Cybersecurity Analyst
MCA,"JavaScript, CSS, Express, PostgreSQL",3.6,Full Stack Web Development Bootcamp,Blog CMS with Markdown Support,Web Developer
M.Sc,"Python, Cloud Architecture, GCP, Azure, Kubernetes, Docker",2.5,Certified Kubernetes Administrator (CKA),Automated CI/CD Pipeline with Jenkins and Docker,Cloud Engineer
M.Sc,"Python, Scikit-learn, Tableau, Statistics, Big Data",2.5,None,Recommendation System for E-Commerce,Data Scientist
MCA,"Firewall, SIEM, Wireshark, Cybersecurity, Nmap, Ethical Hacking",4.6,None,Intrusion Detection System with Snort,Cybersecurity Analyst
M.Tech,"Network Security, Burp Suite, Wireshark, Linux, Vulnerability Assessment",2.0,Certified Ethical Hacker (CEH),Malware Reverse Engineering Sandbox,Cybersecurity Analyst
MCA,"JavaScript, CSS, REST API, React, Node.js, Next.js",5.2,JavaScript Specialist,Social Media Feed Web Application,Web Developer
M.Tech,"Power BI, SQL, Pandas, Python, Excel, PostgreSQL, Tableau",3.9,None,Marketing Campaign ROI Tracker,Data Analyst
M.Sc,"OOP, MySQL, Data Structures, C++, Git, Unit Testing, Java",3.3,None,Distributed Cache Mechanism,Software Developer
M.Sc,"Azure, Docker, Networking, Cloud Architecture, Prometheus, Linux, Terraform, CI/CD",5.6,AWS Solutions Architect Associate,Kubernetes Microservices Cluster Deployment,Cloud Engineer
M.Sc,"Google Analytics, Python, Data Analysis, Data Visualization, Power BI, Pandas, MySQL, Excel",7.9,Tableau Desktop Specialist,Financial Quarterly KPI Visualization,Data Analyst
B.Sc,"Kubernetes, Jenkins, GCP, Cloud Architecture, AWS, Linux, Docker, Azure",9.5,Certified Kubernetes Administrator (CKA),Kubernetes Microservices Cluster Deployment,Cloud Engineer
M.Tech,"React, HTML, Node.js, Angular, Django, JavaScript",2.0,Meta Front-End Developer Certificate,Social Media Feed Web Application,Web Developer
MCA,"SQL, Python, Git, C++",5.0,Microsoft Certified C# Developer,Banking Transaction Core System,Software Developer
M.S,"Node.js, Flask, Bootstrap, Express, Django, REST API, JavaScript",5.9,None,E-Commerce Web Portal with Stripe,Web Developer
BCA,"REST API, C++, OOP, SQL, C#, Data Structures",3.0,AWS Certified Developer,Hospital Management Desktop App,Software Developer
M.Sc,"Terraform, Linux, Kubernetes, Jenkins, Networking, CI/CD, Cloud Architecture",7.1,Certified Kubernetes Administrator (CKA),Automated CI/CD Pipeline with Jenkins and Docker,Cloud Engineer
B.E,"Burp Suite, Wireshark, Cybersecurity, Network Security, Python, Bash",5.1,Cisco CCNA Security,Intrusion Detection System with Snort,Cybersecurity Analyst
MCA,"Next.js, HTML, Vue.js, Express, Flask, REST API",9.6,Full Stack Web Development Bootcamp,Real-time Collaborative Whiteboard,Web Developer
BCA,"Tableau, Python, Data Visualization, Pandas, Power BI, NumPy, Excel, Google Analytics",4.9,Tableau Desktop Specialist,Marketing Campaign ROI Tracker,Data Analyst
B.Tech,"MySQL, .NET, Algorithms, Java, Data Structures",8.0,None,Multi-threaded File Downloader,Software Developer
B.Tech,"Node.js, PostgreSQL, React, CSS, Express",6.1,Full Stack Web Development Bootcamp,Restaurant Food Ordering Web App,Web Developer
B.Sc,"Power BI, Data Visualization, Data Analysis, Business Intelligence, SQL, Excel",2.4,Tableau Desktop Specialist,HR Employee Attrition Insights,Data Analyst
B.E,"C#, Algorithms, OOP, C++, Git, Design Patterns",7.7,AWS Certified Developer,Distributed Cache Mechanism,Software Developer
B.E,"Node.js, TypeScript, REST API, JavaScript, Vue.js, Express, React, Tailwind",3.4,None,Social Media Feed Web Application,Web Developer
M.Tech,"Express, HTML, Django, Vue.js, JavaScript, CSS, React",0.9,JavaScript Specialist,Real-time Collaborative Whiteboard,Web Developer
B.Tech,"Model Deployment, Machine Learning, Python, Scikit-learn, Docker, Computer Vision, Deep Learning",5.7,AWS Certified Machine Learning Specialty,Autonomous Driving Lane Detection,Machine Learning Engineer
B.Tech,"Machine Learning, Matplotlib, Scikit-learn, Tableau, NumPy, Pandas, Python",10.0,Google Data Analytics,House Price Forecasting Pipeline,Data Scientist
M.Sc,"Bash, Wireshark, Burp Suite, Linux, Python, Firewall, Nmap, Ethical Hacking",0.5,None,Phishing Simulation & Awareness Program,Cybersecurity Analyst
M.Tech,"REST API, Node.js, Express, JavaScript, Bootstrap, Next.js, TypeScript, HTML",0.4,Meta Front-End Developer Certificate,Social Media Feed Web Application,Web Developer
MCA,"Data Visualization, Data Analysis, Statistics, PostgreSQL, Tableau, NumPy, Python",9.7,Tableau Desktop Specialist,Sales Performance Interactive Dashboard,Data Analyst
B.Tech,"OOP, Git, C#, C++, Java, Data Structures",8.6,Microsoft Certified C# Developer,Peer-to-Peer Chat Engine,Software Developer
M.Sc,"Network Security, Cybersecurity, Ethical Hacking, Penetration Testing, Linux",1.0,None,Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
B.Tech,"React, Express, Node.js, Bootstrap",4.2,None,Portfolio Showcase with Dynamic Theming,Web Developer
M.S,"Pandas, Machine Learning, Python, SQL, TensorFlow",2.7,None,Sentiment Analysis on Product Reviews,Data Scientist
BCA,"Network Security, Wireshark, Firewall, Ethical Hacking, SOC, Cybersecurity",6.8,CompTIA Security+,Phishing Simulation & Awareness Program,Cybersecurity Analyst
BCA,"GitLab CI, CI/CD, Docker, Terraform, Bash",1.5,Certified Kubernetes Administrator (CKA),Multi-Region High Availability AWS Infrastructure,Cloud Engineer
MCA,"OOP, Algorithms, Data Structures, REST API",7.6,None,Hospital Management Desktop App,Software Developer
B.Tech,"Data Analysis, Business Intelligence, MySQL, Data Visualization, NumPy, Python",8.7,Google Data Analytics Certificate,HR Employee Attrition Insights,Data Analyst
MCA,"Wireshark, Metasploit, Ethical Hacking, Cryptography, Nmap, Cybersecurity, Network Security, Penetration Testing",5.1,Cisco CCNA Security,Malware Reverse Engineering Sandbox,Cybersecurity Analyst
B.Tech,"Kubernetes, GCP, Terraform, CI/CD",7.9,Microsoft Azure Fundamentals,Automated CI/CD Pipeline with Jenkins and Docker,Cloud Engineer
BCA,"HTML, TypeScript, REST API, Express, Tailwind",7.8,Full Stack Web Development Bootcamp,Social Media Feed Web Application,Web Developer
M.Sc,"Firewall, Network Security, Nmap, SIEM, Vulnerability Assessment, Python, Cybersecurity",9.0,Certified Ethical Hacker (CEH),Malware Reverse Engineering Sandbox,Cybersecurity Analyst
B.E,"Microservices, Docker, Linux, CI/CD, Networking",9.3,Certified Kubernetes Administrator (CKA),Kubernetes Microservices Cluster Deployment,Cloud Engineer
B.Tech,"Statistics, NumPy, TensorFlow, Python",5.5,Google Data Analytics,House Price Forecasting Pipeline,Data Scientist
B.Sc,"Scikit-learn, Pandas, NLP, TensorFlow, PyTorch, FastAPI, Machine Learning",4.9,None,Transformer-based Chatbot Engine,Machine Learning Engineer
MCA,"SIEM, Wireshark, Linux, Ethical Hacking",1.4,CompTIA CySA+,Intrusion Detection System with Snort,Cybersecurity Analyst
B.Sc,"Pandas, SQL, Big Data, Python",9.3,TensorFlow Developer Certificate,Recommendation System for E-Commerce,Data Scientist
B.E,"PostgreSQL, MySQL, Tableau, Data Visualization, Power BI, R, SQL, Python",5.3,None,Sales Performance Interactive Dashboard,Data Analyst
BCA,"Docker, AWS, Linux, Jenkins",6.9,AWS Solutions Architect Associate,Disaster Recovery Infrastructure as Code,Cloud Engineer
BCA,"Docker, .NET, OOP, Design Patterns, Algorithms, Git, Java",7.2,None,Peer-to-Peer Chat Engine,Software Developer
BCA,"Statistics, NumPy, Tableau, Scikit-learn, Machine Learning, SQL",1.0,None,Recommendation System for E-Commerce,Data Scientist
M.S,"Kubernetes, Docker, Python, Deep Learning, TensorFlow, PyTorch",3.4,None,Edge AI Device Defect Classifier,Machine Learning Engineer
B.Sc,"Terraform, Linux, Networking, Cloud Architecture",8.5,AWS Solutions Architect Associate,Kubernetes Microservices Cluster Deployment,Cloud Engineer
M.S,"Cybersecurity, Metasploit, Wireshark, Nmap, Linux, Burp Suite",2.2,Cisco CCNA Security,Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
B.Sc,"Git, Algorithms, OOP, Unit Testing, C++, Docker",9.1,None,Banking Transaction Core System,Software Developer
MCA,"Power BI, Excel, Data Analysis, PostgreSQL, Tableau, MySQL, R",3.3,Microsoft Certified Data Analyst,Supply Chain Inventory Analysis,Data Analyst
M.S,"Python, Machine Learning, TensorFlow, Scikit-learn, Computer Vision",6.4,DeepLearning.AI TensorFlow Developer,Real-time Object Detection with YOLO,Machine Learning Engineer
B.Sc,"Tableau, NumPy, Pandas, SQL, Machine Learning, TensorFlow",6.4,None,House Price Forecasting Pipeline,Data Scientist
B.Tech,"Design Patterns, Git, Algorithms, C++, OOP",0.0,None,Multi-threaded File Downloader,Software Developer
M.S,"Unit Testing, Data Structures, C++, Git",3.2,Microsoft Certified C# Developer,Banking Transaction Core System,Software Developer
M.S,"MLOps, Kubernetes, Scikit-learn, Deep Learning, Docker, TensorFlow, Model Deployment",6.4,None,Edge AI Device Defect Classifier,Machine Learning Engineer
M.S,"Scikit-learn, Deep Learning, Pandas, Machine Learning, SQL, TensorFlow, NumPy",6.9,TensorFlow Developer Certificate,Recommendation System for E-Commerce,Data Scientist
MCA,"Burp Suite, Nmap, Cybersecurity, Linux",8.9,CompTIA Security+,Malware Reverse Engineering Sandbox,Cybersecurity Analyst
M.S,"Deep Learning, MLOps, PyTorch, Docker, Scikit-learn, Python",3.1,None,Autonomous Driving Lane Detection,Machine Learning Engineer
B.Tech,"Cryptography, Nmap, Cybersecurity, Linux",8.2,CompTIA CySA+,Web Application Penetration Testing Report,Cybersecurity Analyst
M.Sc,"Python, MLOps, TensorFlow, CUDA, NLP, PyTorch",8.0,None,Transformer-based Chatbot Engine,Machine Learning Engineer
MCA,"Java, Python, C#, Algorithms, REST API, Spring Boot",1.6,AWS Certified Developer,Inventory and Billing Management Software,Software Developer
B.E,"Pandas, PyTorch, Scikit-learn, Matplotlib, Statistics, Tableau, Machine Learning, NumPy",2.1,None,Sentiment Analysis on Product Reviews,Data Scientist
B.Sc,"CI/CD, Kubernetes, Prometheus, Cloud Architecture",5.0,AWS Solutions Architect Associate,Automated CI/CD Pipeline with Jenkins and Docker,Cloud Engineer
BCA,"Linux, Java, OOP, C++",4.9,AWS Certified Developer,Distributed Cache Mechanism,Software Developer
B.Tech,"Flask, Node.js, REST API, JavaScript, HTML, Tailwind, Vue.js",2.7,JavaScript Specialist,Real-time Collaborative Whiteboard,Web Developer
M.Tech,"SQL, Data Visualization, Data Analysis, Statistics, Excel, Python, Google Analytics, MySQL",1.5,Tableau Desktop Specialist,Financial Quarterly KPI Visualization,Data Analyst
B.Tech,"Spark, Python, Seaborn, Machine Learning, SQL",3.6,TensorFlow Developer Certificate,Recommendation System for E-Commerce,Data Scientist
B.E,"Scikit-learn, TensorFlow, MLOps, Deep Learning, PyTorch",2.9,GCP Professional ML Engineer,End-to-End MLOps Pipeline on Kubernetes,Machine Learning Engineer
M.Tech,"Java, Design Patterns, Git, Python, OOP",8.7,AWS Certified Developer,Banking Transaction Core System,Software Developer
MCA,"Algorithms, Java, Docker, Python, REST API, Unit Testing, OOP, Data Structures",5.2,Microsoft Certified C# Developer,Banking Transaction Core System,Software Developer
B.Sc,"Pandas, Spark, Statistics, Python, Seaborn",9.0,TensorFlow Developer Certificate,Credit Risk Scoring Algorithm,Data Scientist
BCA,"Next.js, CSS, Angular, REST API, React, PostgreSQL, Node.js",4.8,None,Portfolio Showcase with Dynamic Theming,Web Developer
BCA,"Cloud Architecture, Bash, Azure, Terraform, Ansible, AWS, Linux, Docker",2.4,Google Associate Cloud Engineer,Multi-Region High Availability AWS Infrastructure,Cloud Engineer
MCA,"Business Intelligence, SQL, Data Visualization, Tableau, Pandas",5.8,Microsoft Certified Data Analyst,Supply Chain Inventory Analysis,Data Analyst
M.Sc,"React, Bootstrap, CSS, REST API, Express, Vue.js, HTML",4.9,Meta Front-End Developer Certificate,E-Commerce Web Portal with Stripe,Web Developer
M.S,"Machine Learning, NumPy, Deep Learning, SQL, Big Data, PyTorch, Statistics",0.3,TensorFlow Developer Certificate,House Price Forecasting Pipeline,Data Scientist
BCA,"Terraform, Python, Linux, Docker, Microservices, Cloud Architecture, CI/CD",8.3,AWS Solutions Architect Associate,Disaster Recovery Infrastructure as Code,Cloud Engineer
M.Tech,"CI/CD, Bash, Kubernetes, Cloud Architecture, Docker, Prometheus, Jenkins, Terraform",9.8,Google Associate Cloud Engineer,Disaster Recovery Infrastructure as Code,Cloud Engineer
B.Tech,"Wireshark, Ethical Hacking, Nmap, Metasploit, Vulnerability Assessment, Firewall, Network Security",2.8,Cisco CCNA Security,Enterprise Network Vulnerability Assessment,Cybersecurity Analyst
BCA,"Linux, Java, .NET, Python, C++, REST API, Data Structures, Git",9.6,Microsoft Certified C# Developer,Banking Transaction Core System,Software Developer
M.S,"Prometheus, AWS, Jenkins, Linux, Docker, Terraform, Networking",5.4,AWS Solutions Architect Associate,Kubernetes Microservices Cluster Deployment,Cloud Engineer
M.S,"Bash, Jenkins, Kubernetes, GCP, Docker, AWS, Linux",1.6,AWS Solutions Architect Associate,Automated CI/CD Pipeline with Jenkins and Docker,Cloud Engineer
M.Sc,"Machine Learning, PyTorch, Deep Learning, AWS, Scikit-learn",4.4,GCP Professional ML Engineer,Automated Image Segmentation for Medical Scans,Machine Learning Engineer
MCA,"FastAPI, Model Deployment, Docker, Scikit-learn, Deep Learning, TensorFlow, AWS, Machine Learning",8.1,DeepLearning.AI TensorFlow Developer,Transformer-based Chatbot Engine,Machine Learning Engineer
